original_name,correct_name
Gl 511.1,GJ 511.1
Gl 511.2,GJ 511.2
Gl 512A,GJ 512A
Gl 512B,GJ 512B
Gl 512.1,GJ 512.1
Gl 513,GJ 513
Gl 514,GJ 514
Gl 514.1,GJ 514.1
Gl 515,GJ 515
Gl 516A,GJ 516A
Gl 516B,GJ 516B
Gl 517,GJ 517
Gl 518,GJ 518
Gl 518.1,GJ 518.1
Gl 518.2A,GJ 518.2A
Gl 518.2B,GJ 518.2B
Gl 519,GJ 519
Gl 520A,GJ 520A
Gl 520B,GJ 520B
Gl 520C,GJ 520C
Gl 521,GJ 521
Gl 521.1,GJ 521.1
Gl 521.2B,GJ 521.2B
Gl 521.2A,GJ 521.2A
Gl 522,GJ 522
