HD128621;HD128620;ALF CEN B;ALPHA-CENTAURI;HD128620A;HR5459;HR5460;ALPHACENB;;;ALPHA-CEN,27812
HIP5389;;;;;;;;;;,5
EPIC212735333;;;;;;;;;;,5
HATS772-143;;;;;;;;;;,5
HD179799;;;;;;;;;;,5
HATS598-013;;;;;;;;;;,5
C5_1664;CL003-05;;;;;;;;;,5
CL002-06;;;;;;;;;;,5
BB SGR;GC-BBSGR;;;;;;;;;,5
GC-SVVUL;SV VUL;SV_VUL;;;;;;;;,5
HD30422;;;;;;;;;;,5
HD34324;;;;;;;;;;,5
HD37286;;;;;;;;;;,5
HD38056;;;;;;;;;;,5
HATS538-002;;;;;;;;;;,5
HATS625-027;;;;;;;;;;,5
HATS537-015;;;;;;;;;;,5
HATS537-009;;;;;;;;;;,5
NG0524-3056-22551;;;;;;;;;;,5
HIP34407;;;;;;;;;;,5
HD201169;HD 201169;;;;;;;;;,5
NG0524-3056-34443;;;;;;;;;;,5
XZ_CET;;;;;;;;;;,5
C14_2829;;;;;;;;;;,5
CL021_14;CL021-14;;;;;;;;;,5
TX_DEL;;;;;;;;;;,5
HD143811;;;;;;;;;;,5
NOI-102624;;;;;;;;;;,5
HATS803-003;;;;;;;;;;,5
HATS398-003;;;;;;;;;;,5
HATS398-010;;;;;;;;;;,5
J1531-27;;;;;;;;;;,5
NOI-103323;;;;;;;;;;,5
HD5319;;;;;;;;;;,5
NLTT21671;;;;;;;;;;,5
BD+22353B;HIP11572;;;;;;;;;,5
E_205020466;;;;;;;;;;,5
GL649;;;;;;;;;;,5
NOI-104776;;;;;;;;;;,5
TIC-224283342;;;;;;;;;;,5
TOI-878;;;;;;;;;;,5
OGLE-SMC-CEP-4795;;;;;;;;;;,5
LMC-CEP-1957;;;;;;;;;;,5
LMC-CEP-2096;;;;;;;;;;,5
LMC-CEP-0491;;;;;;;;;;,5
LMC-CEP-1472;;;;;;;;;;,5
LAM VIR;LAMBDA_VIR;;;;;;;;;,5
NOI-105592;;;;;;;;;;,5
V UX CHA;;;;;;;;;;,5
TIC231005575;;;;;;;;;;,5
OGLE-SMC-CEP-4083;OGLE_SMC-CEP-4083;;;;;;;;;,5
TOI-2426;;;;;;;;;;,5
TOI-943;;;;;;;;;;,5
OGLE LMC-CEP-3433;;;;;;;;;;,5
LMC-CEP-0821;SV HV  889;;;;;;;;;,5
OGLE SMC-CEP-2085;SMC-CEP-2085;;;;;;;;;,5
TIC 144621694;;;;;;;;;;,5
TOI-658;;;;;;;;;;,5
TOI-728;;;;;;;;;;,5
TIC275650637;;;;;;;;;;,5
TIC 49254857;;;;;;;;;;,5
OGLE-TR-10;;;;;;;;;;,4
HD205871;;;;;;;;;;,4
HD204587;;;;;;;;;;,4
HD21411;;;;;;;;;;,4
BD-150728;;;;;;;;;;,4
HD22610;;;;;;;;;;,4
HD13252;;;;;;;;;;,4
BD-070699;;;;;;;;;;,4
HD30858;;;;;;;;;;,4
HD16536;;;;;;;;;;,4
HD29980;;;;;;;;;;,4
HD870;;;;;;;;;;,4
HD34449;;;;;;;;;;,4
CD-44-836B;CD-44836B;;;;;;;;;,4
HD212580;;;;;;;;;;,4
G108-22;;;;;;;;;;,4
HD40503;;;;;;;;;;,4
HD42499A;;;;;;;;;;,4
LHS3799;;;;;;;;;;,4
HIP36347;;;;;;;;;;,4
HD101131;;;;;;;;;;,4
BS17586-014;;;;;;;;;;,4
HIP44785;;;;;;;;;;,4
HIP16094;;;;;;;;;;,4
BD-080535;;;;;;;;;;,4
HD103949;;;;;;;;;;,4
HD90926;;;;;;;;;;,4
HD109723;;;;;;;;;;,4
HD117938;;;;;;;;;;,4
HD131565;;;;;;;;;;,4
HD95922;;;;;;;;;;,4
HD131218;;;;;;;;;;,4
BD-084501;;;;;;;;;;,4
HD212061;;;;;;;;;;,4
CPD-5211628;CPD-5211628B;;;;;;;;;,4
BF HYI;BBFH;;;;;;;;;,4
EF-AQR;EF_AQR;;;;;;;;;,4
CD-2616866B;CD-2616866;;;;;;;;;,4
HD336;BD-153B;HD336A;HD336B;;;;;;;,4
CD-451246;;;;;;;;;;,4
HD18838;;;;;;;;;;,4
HD149404;HD149404_5.5;;;;;;;;;,4
CPD-60315B;HD29167;;;;;;;;;,4
HIP107758;;;;;;;;;;,4
BD-100216;;;;;;;;;;,4
HIP112703;;;;;;;;;;,4
HIP118086;;;;;;;;;;,4
HD36179;;;;;;;;;;,4
BD-140184;;;;;;;;;;,4
HD77191;;;;;;;;;;,4
BD-136483;;;;;;;;;;,4
HD223782;;;;;;;;;;,4
GL166C;;;;;;;;;;,4
HD93836;;;;;;;;;;,4
HIP53321;;;;;;;;;;,4
HD285252;HIP18327;;;;;;;;;,4
HD91816;;;;;;;;;;,4
OGLE-TR-158;TR158;;;;;;;;;,4
HIP55014;;;;;;;;;;,4
HR-4119;;;;;;;;;;,4
BD+062932;;;;;;;;;;,4
HD119802;;;;;;;;;;,4
HD124244;;;;;;;;;;,4
HD151933;;;;;;;;;;,4
HD212291;;;;;;;;;;,4
HD3758;;;;;;;;;;,4
HD11168;;;;;;;;;;,4
HD18702;;;;;;;;;;,4
BD-053596;;;;;;;;;;,4
HD116963;;;;;;;;;;,4
BD-064196;;;;;;;;;;,4
HD141003;;;;;;;;;;,4
HD201422;;;;;;;;;;,4
HD158809;;;;;;;;;;,4
HD218294;;;;;;;;;;,4
HIP113030;;;;;;;;;;,4
HD163102;;;;;;;;;;,4
HIP115344;;;;;;;;;;,4
HD18331;;;;;;;;;;,4
HD139461;;;;;;;;;;,4
HD-11025;;;;;;;;;;,4
HD-26911-HYA;V1099_TAU;HIP19877;;;;;;;;,4
HD215902;;;;;;;;;;,4
HD-116244;;;;;;;;;;,4
HD163800;;;;;;;;;;,4
HD-92214;;;;;;;;;;,4
HD-131109;;;;;;;;;;,4
HR9087;;;;;;;;;;,4
SC7-68;;;;;;;;;;,4
GJ114.1A;;;;;;;;;;,4
SC10-2661;;;;;;;;;;,4
TLS_7;LRA01_E2_5184;;;;;;;;;,4
IRA01_E2_1857;;;;;;;;;;,4
HD-93773;;;;;;;;;;,4
HD-101321;;;;;;;;;;,4
HD-152980;;;;;;;;;;,4
GJ431;;;;;;;;;;,4
HD-126053;;;;;;;;;;,4
IM-LUP;;;;;;;;;;,4
HD-201381;;;;;;;;;;,4
HD-204381;;;;;;;;;;,4
LRC01_E2_3345;;;;;;;;;;,4
NGC2477NO7503;NGC2477NO.7503;;;;;;;;;,4
NGC2477NO5047;NGC2477NO.5047;;;;;;;;;,4
NGC2477NO6058;;;;;;;;;;,4
NGC2477NO7012;;;;;;;;;;,4
NGC2477NO4037;NGC2477NO.4037;;;;;;;;;,4
NGC2477NO3206;NGC2477NO.3206;;;;;;;;;,4
GJ3032;;;;;;;;;;,4
OBJ1101;;;;;;;;;;,4
OBJ1303;;;;;;;;;;,4
SAND1001;;;;;;;;;;,4
OBJ1948;;;;;;;;;;,4
N66;;;;;;;;;;,4
SAND1230;S1230;;;;;;;;;,4
CD-84-0080;;;;;;;;;;,4
HD-81544;;;;;;;;;;,4
LMC118.1-35143;;;;;;;;;;,4
HR-6502;;;;;;;;;;,4
HIP-62108;;;;;;;;;;,4
GJ4005;;;;;;;;;;,4
GJ4024;0427_1536;;;;;;;;;,4
GJ4129;;;;;;;;;;,4
GJ4241;;;;;;;;;;,4
GJ4195;;;;;;;;;;,4
GJ843;;;;;;;;;;,4
HD79416;HD079416;;;;;;;;;,4
HD191902;;;;;;;;;;,4
HD203040;;;;;;;;;;,4
SRC02_E2_3877;;;;;;;;;;,4
HD008829;;;;;;;;;;,4
GJ895.1;;;;;;;;;;,4
GJ4197;;;;;;;;;;,4
HD214383;;;;;;;;;;,4
LRA01_E2_5277;;;;;;;;;;,4
LRA01_E2_0750;;;;;;;;;;,4
HD50230;;;;;;;;;;,4
HD51844;;;;;;;;;;,4
HD-36881;;;;;;;;;;,4
HD-53929;;;;;;;;;;,4
HD-29589;;;;;;;;;;,4
HD-34880;;;;;;;;;;,4
HD-90264;;;;;;;;;;,4
HD-35548;;;;;;;;;;,4
HD-42657;;;;;;;;;;,4
HD-33647;;;;;;;;;;,4
HD-53244;;;;;;;;;;,4
HD-63975;;;;;;;;;;,4
HD-71066;;;;;;;;;;,4
HD-75333;;;;;;;;;;,4
SAND1592;S1592;;;;;;;;;,4
V4046-SGR;;;;;;;;;;,4
HD-165493;;;;;;;;;;,4
HD-117555;;;;;;;;;;,4
HD-186122;;;;;;;;;;,4
HD-179761;;;;;;;;;;,4
HD-191110;;;;;;;;;;,4
LRC03_E2_1306;;;;;;;;;;,4
HD197451;;;;;;;;;;,4
HD90872;HD090872;;;;;;;;;,4
HD194717;;;;;;;;;;,4
BD-135865;;;;;;;;;;,4
HD-216489;;;;;;;;;;,4
LMC133.8-19478;LMC133.8.19478;;;;;;;;;,4
BD-206558;;;;;;;;;;,4
HD220740;;;;;;;;;;,4
GJ4149;;;;;;;;;;,4
GJ2033;;;;;;;;;;,4
GJ4362;;;;;;;;;;,4
IRAS12556-7731;;;;;;;;;;,4
HD24587;;;;;;;;;;,4
GJ808;;;;;;;;;;,4
LRC06_E2_1483;;;;;;;;;;,4
HD-103079;;;;;;;;;;,4
HD-104841;;;;;;;;;;,4
HD-122980;;;;;;;;;;,4
HD-140008;;;;;;;;;;,4
HD-151985;;;;;;;;;;,4
HD-137432;;;;;;;;;;,4
HD-134687;;;;;;;;;;,4
HD-155450;;;;;;;;;;,4
HD-164906;;;;;;;;;;,4
HD-132955;;;;;;;;;;,4
HD-139365;;;;;;;;;;,4
HD-142669;;;;;;;;;;,4
HD-143018;;;;;;;;;;,4
HD-153716;;;;;;;;;;,4
HD-92938;;;;;;;;;;,4
HD-93194;;;;;;;;;;,4
HD-97048;;;;;;;;;;,4
HD-110956;;;;;;;;;;,4
HD83509;;;;;;;;;;,4
BHD312256;A130436;;;;;;;;;,4
B_A010538;B-CD-80-28;;;;;;;;;,4
HD169392B;HD169392A;;;;;;;;;,4
GJ4352;;;;;;;;;;,4
GJ4304A;;;;;;;;;;,4
HD-44506;;;;;;;;;;,4
HD-67041;;;;;;;;;;,4
HD-68657;;;;;;;;;;,4
HD-72067;;;;;;;;;;,4
HD-64503;;;;;;;;;;,4
HD-28873;;;;;;;;;;,4
HD-48917;;;;;;;;;;,4
SRA04_E2_1323;;;;;;;;;;,4
HD-25102-HYA;HIP18658;;;;;;;;;,4
HD89307;;;;;;;;;;,4
LRC08_E2_1519;;;;;;;;;;,4
V853CEN;HD999853;;;;;;;;;,4
HD-155754;;;;;;;;;;,4
HD-155506;;;;;;;;;;,4
HD-315031;;;;;;;;;;,4
HD-20001;;;;;;;;;;,4
HD-210191;;;;;;;;;;,4
HD-155889;;;;;;;;;;,4
HD-220787;;;;;;;;;;,4
HD-135127;;;;;;;;;;,4
HD27483;;;;;;;;;;,4
HD187474;;;;;;;;;;,4
HD216018;;;;;;;;;;,4
HD14386;;;;;;;;;;,4
LMC-CEP-8910;LMC506.14_8910;;;;;;;;;,4
V1044-ORI;;;;;;;;;;,4
HD-77320;;;;;;;;;;,4
HD-76838;;;;;;;;;;,4
HD-93607;;;;;;;;;;,4
HD-93714;;;;;;;;;;,4
HD-94097;;;;;;;;;;,4
HIP-52766;;;;;;;;;;,4
HD-120640;;;;;;;;;;,4
HD-77475;;;;;;;;;;,4
HD-79694;;;;;;;;;;,4
HD-78616-A;;;;;;;;;;,4
HD-121790;;;;;;;;;;,4
HD-79735;;;;;;;;;;,4
HD-110335;;;;;;;;;;,4
HD-78764;;;;;;;;;;,4
HD-150898;;;;;;;;;;,4
HD-75446;;;;;;;;;;,4
HIP-43085;;;;;;;;;;,4
HD-75387;;;;;;;;;;,4
HD-91969;;;;;;;;;;,4
HD-75724;;;;;;;;;;,4
NGC5822NO.224;;;;;;;;;;,4
NGC5822NO.348;;;;;;;;;;,4
NGC5822NO.6;;;;;;;;;;,4
NGC6208NO19;;;;;;;;;;,4
NGC6281NO3;;;;;;;;;;,4
NGC2972NO11;;;;;;;;;;,4
IC4756NO28;;;;;;;;;;,4
IC4756NO109;;;;;;;;;;,4
IC4756NO49;;;;;;;;;;,4
IC4756NO164;;;;;;;;;;,4
HD141318;;;;;;;;;;,4
HD164637;;;;;;;;;;,4
HD155775;;;;;;;;;;,4
HD167659;;;;;;;;;;,4
HD101205;;;;;;;;;;,4
BLG164.1_146258;;;;;;;;;;,4
BLG223.6_143565;;;;;;;;;;,4
LRC04_E2_4032;;;;;;;;;;,4
HD159082;;;;;;;;;;,4
LMC562.25.11250;;;;;;;;;;,4
HATS602-063;;;;;;;;;;,4
HD-36430;;;;;;;;;;,4
HD-35039;;;;;;;;;;,4
HD-37468;;;;;;;;;;,4
HD-35299;;;;;;;;;;,4
HD-37209;;;;;;;;;;,4
HD-36351;;;;;;;;;;,4
HD-48434;;;;;;;;;;,4
HD-34989;;;;;;;;;;,4
HD-37744;;;;;;;;;;,4
HD173370;;;;;;;;;;,4
CPD-57_3509;;;;;;;;;;,4
HD140873;;;;;;;;;;,4
HD181440;;;;;;;;;;,4
HD186704;;;;;;;;;;,4
28-CMA;;;;;;;;;;,4
HD66194;;;;;;;;;;,4
HD91824;;;;;;;;;;,4
HD-91465;;;;;;;;;;,4
HD161649;;;;;;;;;;,4
HD170054;;;;;;;;;;,4
PEACOCK;;;;;;;;;;,4
HD326331;;;;;;;;;;,4
HD68450;;;;;;;;;;,4
HD302225;;;;;;;;;;,4
HD101545;;;;;;;;;;,4
HD170682;;;;;;;;;;,4
HD170563;;;;;;;;;;,4
HD170719;;;;;;;;;;,4
HD96059;;;;;;;;;;,4
LTT-63;;;;;;;;;;,4
BET-RET;;;;;;;;;;,4
C-CAR;;;;;;;;;;,4
BET-VOL;;;;;;;;;;,4
ALF-TUC;;;;;;;;;;,4
HR-2736;;;;;;;;;;,4
A-VEL;;;;;;;;;;,4
HIP15368;;;;;;;;;;,4
HD35369;;;;;;;;;;,4
HD56160;;;;;;;;;;,4
HD60060;;;;;;;;;;,4
HD 285970;HIP21946;;;;;;;;;,4
HD126135;;;;;;;;;;,4
HD54341;;;;;;;;;;,4
HATS602-040;;;;;;;;;;,4
HATS606-005;;;;;;;;;;,4
HATS606-007;;;;;;;;;;,4
HATS565-001;;;;;;;;;;,4
HATS598-010;;;;;;;;;;,4
HATS610-015;;;;;;;;;;,4
HD109200;;;;;;;;;;,4
HD20807;;;;;;;;;;,4
HD65907A;;;;;;;;;;,4
HD85512;;;;;;;;;;,4
HD58350;;;;;;;;;;,4
HD56779;;;;;;;;;;,4
HD58260;;;;;;;;;;,4
HD164353;;;;;;;;;;,4
HD60344;;;;;;;;;;,4
HD94367;;;;;;;;;;,4
CPD-271791;;;;;;;;;;,4
HD149257;;;;;;;;;;,4
HD198227;;;;;;;;;;,4
DEL-MUS;;;;;;;;;;,4
OGLE-GD-ECL-022650;OGLE-GD-ECL-02265;;;;;;;;;,4
HD169454;;;;;;;;;;,4
CPD-622124;;;;;;;;;;,4
CPD-692698;;;;;;;;;;,4
HD124448;;;;;;;;;;,4
U-CAR;;;;;;;;;;,4
TAU-AQR;;;;;;;;;;,4
HD_29248_3.92;;;;;;;;;;,4
HD_215573_5.3;;;;;;;;;;,4
HD 18894;HIP-14124;HD18894;;;;;;;;,4
47TUC-V1;;;;;;;;;;,4
47TUC-V2;;;;;;;;;;,4
CL005-04;;;;;;;;;;,4
CL003-04;;;;;;;;;;,4
HD063608;;;;;;;;;;,4
HD6101;;;;;;;;;;,4
HD4256;;;;;;;;;;,4
HD92385;;;;;;;;;;,4
BD+00-1659;;;;;;;;;;,4
SW1326-0819;;;;;;;;;;,4
C6_9181;CL030-06;;;;;;;;;,4
CL015-06;;;;;;;;;;,4
CL024-06;;;;;;;;;;,4
HATS772-126;;;;;;;;;;,4
HATS772-183;;;;;;;;;;,4
HD110646;;;;;;;;;;,4
HD184406;;;;;;;;;;,4
HD191067;;;;;;;;;;,4
HD198431;;;;;;;;;;,4
HD66295;;;;;;;;;;,4
HD120991_6.1;;;;;;;;;;,4
HD167401_9.2_MAGN;;;;;;;;;;,4
HATS745-021;;;;;;;;;;,4
CL011-07;;;;;;;;;;,4
CL017-07;;;;;;;;;;,4
CL015-08;;;;;;;;;;,4
HATS755-016;;;;;;;;;;,4
HATS755-008;;;;;;;;;;,4
HATS745-004;;;;;;;;;;,4
HD8599;;;;;;;;;;,4
HD21997;;;;;;;;;;,4
HD93738;;;;;;;;;;,4
HATS561-002;;;;;;;;;;,4
HD000009;;;;;;;;;;,4
HAT-P-20;;;;;;;;;;,4
HATS524-001;;;;;;;;;;,4
HATS572-001;;;;;;;;;;,4
CL051_10;;;;;;;;;;,4
HATS698-041;;;;;;;;;;,4
HATS537-004;;;;;;;;;;,4
HD165133_9_3;HD165133;;;;;;;;;,4
CALIB-PROPOSAL-BAGNULO;;;;;;;;;;,4
HD5938;HD005938;;;;;;;;;,4
EPIC247773181;;;;;;;;;;,4
NG2331-3922-04702;;;;;;;;;;,4
HATS762-014;;;;;;;;;;,4
HATS763-009;;;;;;;;;;,4
HATS729-001;;;;;;;;;;,4
HATS557-026;;;;;;;;;;,4
HATS606-011;;;;;;;;;;,4
HATS699-050;;;;;;;;;;,4
SW1055-0044;;;;;;;;;;,4
HATS560-012;;;;;;;;;;,4
HATS511-001;;;;;;;;;;,4
HATS511-003;;;;;;;;;;,4
HATS697-032;;;;;;;;;;,4
HD103589;;;;;;;;;;,4
UX_NOR;;;;;;;;;;,4
HD107920;;;;;;;;;;,4
HD111588;;;;;;;;;;,4
HD121176;;;;;;;;;;,4
HD139883;;;;;;;;;;,4
HD107821;;;;;;;;;;,4
HD110634;;;;;;;;;;,4
HATS546-004;;;;;;;;;;,4
HATS398-020;;;;;;;;;;,4
HD179211;HD179210;;;;;;;;;,4
HD163745;;;;;;;;;;,4
HD196519;;;;;;;;;;,4
HD145782;;;;;;;;;;,4
HD222287;;;;;;;;;;,4
HD50506;;;;;;;;;;,4
GL100C;;;;;;;;;;,4
NLTT11500;;;;;;;;;;,4
J1410-34;;;;;;;;;;,4
TX_VEL;;;;;;;;;;,4
RV_OCT;;;;;;;;;;,4
HD214090;;;;;;;;;;,4
NOI-105053;;;;;;;;;;,4
HD85567;;;;;;;;;;,4
HD89393P;;;;;;;;;;,4
HD70702;;;;;;;;;;,4
HD176196P;;;;;;;;;;,4
NOI-104158;;;;;;;;;;,4
TOI-954;;;;;;;;;;,4
ALF ORI;;;;;;;;;;,4
NOI-105717;;;;;;;;;;,4
BC_OCT;;;;;;;;;;,4
TIC468981993;;;;;;;;;;,4
NGC  2682   271;;;;;;;;;;,4
HD   9312;;;;;;;;;;,4
LMC-CEP-0584;;;;;;;;;;,4
LMC-CEP-2999;;;;;;;;;;,4
LMC-CEP-1369;;;;;;;;;;,4
LMC-CEP-2669;;;;;;;;;;,4
LMC-CEP-0224;;;;;;;;;;,4
BC_OCT;;;;;;;;;;,4
HD 210763;HD210763;;;;;;;;;,4
RX J1005.3-7749;;;;;;;;;;,4
TIC79531204;;;;;;;;;;,4
HD 141272;;;;;;;;;;,4
TIC459932301;;;;;;;;;;,4
OGLE LMC-CEP-1711;LMC-CEP-1711;;;;;;;;;,4
OGLE LMC-CEP-3461;LMC-CEP-3461;;;;;;;;;,4
LMC-CEP-0110;;;;;;;;;;,4
TOI-2463;;;;;;;;;;,4
HD 142022;;;;;;;;;;,4
TOI-5172;;;;;;;;;;,4
TOI-2350;;;;;;;;;;,4
TOI-913;;;;;;;;;;,4
J0910-45;;;;;;;;;;,4
TIC394223845;;;;;;;;;;,4
DTARPS-6; ;;;;;;;;;,4
DTARPS-7;;;;;;;;;;,4
DTARPS-1;;;;;;;;;;,4
DTARPS-4;;;;;;;;;;,4
TOI-1015;;;;;;;;;;,4
DTARPS-3;;;;;;;;;;,4
NOI-106844;;;;;;;;;;,4
TOI-2229;;;;;;;;;;,4
HD 68695;;;;;;;;;;,4
HD 53367;;;;;;;;;;,4
TOI-4340;;;;;;;;;;,4
TOI-4365;;;;;;;;;;,4
TOI-2201;;;;;;;;;;,4
TOI-333;;;;;;;;;;,4
TOI-4350;;;;;;;;;;,4
HD14420;;;;;;;;;;,4
TOI-4768;;;;;;;;;;,4
HD183505;;;;;;;;;;,3
HD162020;;;;;;;;;;,3
HD205674;;;;;;;;;;,3
HD29303;;;;;;;;;;,3
HD208672;;;;;;;;;;,3
HD16784;;;;;;;;;;,3
HD22282;;;;;;;;;;,3
HD24990A;;;;;;;;;;,3
BD-120525;;;;;;;;;;,3
HD32969A;;;;;;;;;;,3
HD14680;;;;;;;;;;,3
HIP21539;;;;;;;;;;,3
GL867B;GJ867A;;;;;;;;;,3
HD41172;;;;;;;;;;,3
HD66488;;;;;;;;;;,3
HD208573;;;;;;;;;;,3
HD58760;;;;;;;;;;,3
BD-092670;;;;;;;;;;,3
HD87521;;;;;;;;;;,3
BPS22497;;;;;;;;;;,3
HD22897;;;;;;;;;;,3
;;;;;;;;;;,3
HIP23516;;;;;;;;;;,3
HD57375;;;;;;;;;;,3
HIP57688;;;;;;;;;;,3
HD112776;;;;;;;;;;,3
HIP74261;;;;;;;;;;,3
BD+084055;BD+084056;;;;;;;;;,3
BD+083095;;;;;;;;;;,3
HD115499;;;;;;;;;;,3
ARCTURUS;;;;;;;;;;,3
HD195302;;;;;;;;;;,3
HD6493;;;;;;;;;;,3
HD215722;;;;;;;;;;,3
HD214954;;;;;;;;;;,3
HD194330;;;;;;;;;;,3
HIP116939;;;;;;;;;;,3
HD18822;;;;;;;;;;,3
BD-226219;;;;;;;;;;,3
HD175179;;;;;;;;;;,3
HD223315;;;;;;;;;;,3
HD52947;;;;;;;;;;,3
BD+141876;;;;;;;;;;,3
HD27036;;;;;;;;;;,3
HD31613;;;;;;;;;;,3
HD71966;;;;;;;;;;,3
HD25632;;;;;;;;;;,3
HD27282;HIP20146;;;;;;;;;,3
HD27466;HIP20218;;;;;;;;;,3
HD101117;;;;;;;;;;,3
HD287201;;;;;;;;;;,3
HD52298;;;;;;;;;;,3
HD52456;;;;;;;;;;,3
HD73667;;;;;;;;;;,3
HD90795;;;;;;;;;;,3
BD-173242;;;;;;;;;;,3
BD-002387;;;;;;;;;;,3
HD106092;;;;;;;;;;,3
TR162;;;;;;;;;;,3
POSSIBLE-NOVA-IN-NORMA;;;;;;;;;;,3
HD290665;;;;;;;;;;,3
NOVASGR2005;;;;;;;;;;,3
HD142879;;;;;;;;;;,3
HD144497;;;;;;;;;;,3
ETA-SCO;;;;;;;;;;,3
HD187861;;;;;;;;;;,3
HIP117865;;;;;;;;;;,3
HD8553;;;;;;;;;;,3
HD11616;;;;;;;;;;,3
HD142666_8.8_A8;V1026_SCO;;;;;;;;;,3
BD-054065;;;;;;;;;;,3
HIP74229;;;;;;;;;;,3
HR7875;;;;;;;;;;,3
1006_14.4;;;;;;;;;;,3
HD187760;;;;;;;;;;,3
HD218885;;;;;;;;;;,3
HD222721;;;;;;;;;;,3
HD-11025;;;;;;;;;;,3
PHI_VIR;;;;;;;;;;,3
HD-42556;;;;;;;;;;,3
V1085_SCO;;;;;;;;;;,3
V1016_CEN;;;;;;;;;;,3
HD-38823;;;;;;;;;;,3
HD-157751;;;;;;;;;;,3
HD-115440;;;;;;;;;;,3
HD-149277;;;;;;;;;;,3
HD-82350;;;;;;;;;;,3
HD-84261;;;;;;;;;;,3
HD-88323;;;;;;;;;;,3
HD-124882;;;;;;;;;;,3
HD218497;;;;;;;;;;,3
HD155806;;;;;;;;;;,3
HD-173819;;;;;;;;;;,3
HD-190056;;;;;;;;;;,3
HD-220009;;;;;;;;;;,3
SGR16;;;;;;;;;;,3
ALF-TAU;;;;;;;;;;,3
GJ130;;;;;;;;;;,3
TLS-1;IRA01_E1_0288B;;;;;;;;;,3
GJ3362;;;;;;;;;;,3
HD-113083;;;;;;;;;;,3
V432-CAR;;;;;;;;;;,3
TLS_5;IRA01_E1_3336;;;;;;;;;,3
IRA01_E2_2329;TLS_6;;;;;;;;;,3
GJ-440;STD1145-6450;;;;;;;;;,3
HD-115439;;;;;;;;;;,3
GJ3823;;;;;;;;;;,3
GJ3799;;;;;;;;;;,3
GJ4036;;;;;;;;;;,3
GJ3916;;;;;;;;;;,3
EG-CHA;;;;;;;;;;,3
SR-21;;;;;;;;;;,3
DOAR-44;;;;;;;;;;,3
HD-193721;;;;;;;;;;,3
LRC01_E1_4863;;;;;;;;;;,3
GJ4273;;;;;;;;;;,3
LRC01_E1_2278;;;;;;;;;;,3
SRC01_E1_2291;;;;;;;;;;,3
HD-99322;;;;;;;;;;,3
HD-99167;;;;;;;;;;,3
HD-95808;;;;;;;;;;,3
HD-95509;;;;;;;;;;,3
SRC01_E1_0780;;;;;;;;;;,3
HD26297;;;;;;;;;;,3
LRC02_E2_2154;;;;;;;;;;,3
LRC02_E2_1207;;;;;;;;;;,3
NGC2477NO7349;;;;;;;;;;,3
NGC2477NO7310;;;;;;;;;;,3
NGC2477NO7242;;;;;;;;;;,3
NGC2477NO5345;;;;;;;;;;,3
NGC2477NO6088;;;;;;;;;;,3
NGC2477NO6005;;;;;;;;;;,3
NGC2477NO8033;;;;;;;;;;,3
NGC2477NO5094;;;;;;;;;;,3
NGC2477NO8028;;;;;;;;;;,3
NGC2477NO4064;;;;;;;;;;,3
NGC2477NO1014;;;;;;;;;;,3
NGC2477NO4027;;;;;;;;;;,3
NGC2477NO2036;;;;;;;;;;,3
NGC2477NO1272;;;;;;;;;;,3
NGC2477NO4248;;;;;;;;;;,3
NGC2477NO1388;;;;;;;;;;,3
NGC2477NO3072;;;;;;;;;;,3
NGC2477NO4221;;;;;;;;;;,3
NGC2477NO4301;;;;;;;;;;,3
NGC2477NO4327;;;;;;;;;;,3
NGC2477NO2359;;;;;;;;;;,3
SERAM_2304-3424;;;;;;;;;;,3
GJ1051;;;;;;;;;;,3
LMC190.6-14417;;;;;;;;;;,3
OBJ1768;;;;;;;;;;,3
HD-23208;;;;;;;;;;,3
MK22;;;;;;;;;;,3
HIP-65201;;;;;;;;;;,3
GJ730;;;;;;;;;;,3
HD042270;;;;;;;;;;,3
HD104819;;;;;;;;;;,3
HD206642;;;;;;;;;;,3
GJ889.1;;;;;;;;;;,3
GJ4245;;;;;;;;;;,3
GJ4253;;;;;;;;;;,3
OZ_NOR;;;;;;;;;;,3
HD143578;;;;;;;;;;,3
SRC01_E1_2630;;;;;;;;;;,3
SRC02_E1_4272;;;;;;;;;;,3
LRC03_E2_1231;;;;;;;;;;,3
SMC101.1-54147;;;;;;;;;;,3
LMC111.5-11323;;;;;;;;;;,3
N2100-5;N2100-1;N2100-14;;;;;;;;,3
LRA02_E2_0121;;;;;;;;;;,3
HD49310;;;;;;;;;;,3
HD30003;;;;;;;;;;,3
LRA02_E2_1715;LRA02_E1_1715;;;;;;;;;,3
SRA02_E1_3444;;;;;;;;;;,3
SRA01_E2_1707;;;;;;;;;;,3
SAND1074;S1074;;;;;;;;;,3
0343_0836;;;;;;;;;;,3
E95;;;;;;;;;;,3
LRC03_E2_3479;;;;;;;;;;,3
HR4963;;;;;;;;;;,3
HD152565;;;;;;;;;;,3
HD201985;;;;;;;;;;,3
HIP109368;;;;;;;;;;,3
GSC00144-03031;;;;;;;;;;,3
SRA03_E2_2355;;;;;;;;;;,3
OBJ1587;;;;;;;;;;,3
HD91682;;;;;;;;;;,3
SRC02_E2_3369;;;;;;;;;;,3
LRC06_E2_4872;;;;;;;;;;,3
BA135-623;B_A153555;;;;;;;;;,3
BHD327692;A160212;;;;;;;;;,3
MU1SCO;;;;;;;;;;,3
UPSSCO;;;;;;;;;;,3
GJ791;;;;;;;;;;,3
LRA05_E2_1949;;;;;;;;;;,3
HD030562;;;;;;;;;;,3
