seqn, name         ,            identifier             ,typ,     ICRS_J2000                    ,      Ecl_J2000                    ,      Gal_J2000                    ,       pm       ,   plx   ,   radvel   ,  MagU   ,  MagB   ,  MagV   ,  MagR   ,  MagG   ,  MagI   ,  MagJ   ,  MagH   ,  MagK   ,  Magu   ,  Magg   ,  Magr   ,  Magi   ,  Magz   ,  spec_type    ,        morph_type         ,      ang_size       ,nparents,nchildren,nsiblings,nbib,nnotes
974 ,PNG 345.2-08.8,PN Tc 1                            ,PN ,266.3970330051000 -46.0899214229800,267.2925188632657 -22.6844812704046,345.2374678672944 -08.8349470228434,  -2.335 -9.301 ,0.2672   ,-94         ,         ,11.30    ,11.49    ,         ,11.269038,         ,10.411   ,10.108   ,9.194    ,         ,         ,         ,         ,         ,PCyg           ,                           ,0.470 0.423          ,1       ,0        ,0        , 248,   0
975 ,PNG 345.3-10.2,PN MeWe 1-11                       ,PN ,268.196100 -46.700456              ,268.653424 -23.269591              ,345.321042 -10.215298              ,                ,         ,21          ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  12,   0
976 ,PNG 345.4+00.1,IC 4637                            ,PN ,256.29362 -40.88547                ,259.14564 -17.96124                ,345.47946 +00.14046                ,                ,         ,15.0        ,         ,         ,9.20     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.310 0.310          ,0       ,0        ,0        , 130,   0
977 ,PNG 345.5+15.1,PN Lo 13                           ,PN ,242.4413910250300 -30.9188391960900,246.2532217709041 -09.7233604382506,345.5063523316741 +15.1139213498488,    3.377 1.455 ,0.4143   ,-19         ,         ,15.1     ,         ,         ,17.824030,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  28,   0
978 ,PNG 345.6+06.7,WRAY 16-229                        ,PN ,249.8671160906800 -36.5712813108100,253.4262680975733 -14.2832119172801,345.6435542047584 +06.7491698912710,                ,         ,-43         ,         ,         ,15.20    ,         ,19.230066,         ,13.813   ,13.332   ,12.282   ,         ,         ,         ,         ,         ,               ,                           ,0.193 0.143          ,0       ,0        ,0        ,  46,   0
979 ,PNG 345.9+03.0,PN Vd 6                            ,PN ,253.61400 -38.73625                ,256.76327 -16.04692                ,345.90039 +03.08618                ,                ,         ,-142.0      ,         ,         ,17.70    ,         ,         ,         ,15.073   ,14.335   ,13.789   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  27,   0
980 ,PNG 345.9-11.2,ESO 279-14                         ,G  ,269.9007473464300 -46.6477210867600,269.9258724409414 -23.2084499892291,345.9345481165988 -11.2190005577586,                ,         ,5706        ,         ,15.68    ,         ,14.51    ,19.655912,         ,11.677   ,11.058   ,10.654   ,         ,         ,         ,         ,         ,               ,                           ,0.527 0.432          ,0       ,0        ,0        ,  19,   1
981 ,PNG 346.0+08.5,WRAY 16-226                        ,Sy*,248.5176765191800 -35.0907610690200,252.0910005240759 -12.9775054178469,346.0265829590443 +08.5504488918535,  -3.184 -4.979 ,0.4048   ,-93         ,         ,         ,14.80    ,         ,14.871631,         ,9.679    ,8.028    ,6.640    ,         ,         ,         ,         ,         ,M6.5           ,                           ,                     ,0       ,0        ,0        ,  84,   0
982 ,PNG 346.2-08.2,IC 4663                            ,PN ,266.3692896171700 -44.9049964299600,267.2369052762136 -21.5005175393085,346.2615451575210 -08.2195118303795,  -0.079 -4.625 ,0.3856   ,-74         ,         ,         ,         ,         ,16.634970,         ,         ,         ,         ,         ,         ,         ,         ,         ,[WN3]          ,                           ,0.26115835 0.25882834,0       ,0        ,0        ,  95,   0
983 ,PNG 346.3-06.8,PN Fg 2                            ,PN ,264.83275 -44.16042                ,266.03704 -20.79218                ,346.33683 -06.89722                ,                ,         ,17          ,         ,12.5     ,12.50    ,         ,         ,         ,13.656   ,13.776   ,13.033   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  38,   0
984 ,PNG 346.9+12.4,PN K 1-3                           ,PN ,245.8292044532599 -31.7496190625500,249.2929141791133 -10.0314893874664,346.9783187748880 +12.4644800126640,  -2.191 -0.734 ,0.1411   ,-14         ,         ,18.6     ,20.00    ,         ,19.736771,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,1.533 1.533          ,0       ,0        ,0        ,  49,   0
985 ,PNG 347.4+05.8,PN H 1-2                           ,PN ,252.2254438259200 -35.7858201194300,255.2611481831189 -13.2515540476916,347.4874942171402 +05.8105759914560,                ,         ,-101        ,         ,11.5     ,13.60    ,         ,14.735499,         ,11.826   ,11.480   ,10.533   ,         ,         ,         ,         ,         ,[WC11]         ,                           ,                     ,0       ,0        ,0        ,  63,   0
986 ,PNG 347.7+02.0,ESO 332-18                         ,PN ,256.1408091875673 -37.8874542478312,258.7140358525262 -14.9895774745699,347.7939029705578 +02.0504000802462,                ,         ,-117.0      ,         ,         ,         ,         ,17.4464  ,         ,13.525   ,13.063   ,12.105   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  35,   0
987 ,PNG 348.0+06.3,WRAY 15-1537                       ,PN ,252.20229 -35.01600                ,255.14352 -12.49009                ,348.07148 +06.31629                ,                ,         ,-52         ,         ,         ,17.50    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  21,   0
988 ,PNG 348.0-13.8,IC 4699                            ,PN ,274.6335209040100 -45.9838153383300,273.4858275877241 -22.6005697911460,348.0299805578327 -13.8532643191133,   0.004 -3.439 ,0.15     ,-136        ,         ,13.83    ,12.71    ,15.51    ,15.316785,15.09    ,15.113   ,15.129   ,14.338   ,         ,         ,         ,         ,         ,O3V((f))       ,                           ,0.083 0.083          ,0       ,0        ,0        ,  96,   0
989 ,PNG 348.4-04.1,PN H 1-21                          ,PN ,263.1992143293399 -40.9746258697000,264.6161248919672 -17.6623456772923,348.4020629656698 -04.1823240368893,  -1.947 -6.378 ,0.6927   ,-208        ,         ,         ,15.20    ,         ,16.911863,         ,13.520   ,13.004   ,12.389   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  28,   0
990 ,PNG 348.8-09.0,WRAY 16-330                        ,PN ,269.1404583047000 -43.0553154687000,269.3332494389586 -19.6180082071743,348.8850112587035 -09.0371096328115,  -2.072 -7.207 ,0.1351   ,-53         ,         ,13.4     ,13.60    ,         ,15.484409,         ,13.935   ,13.976   ,13.280   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  45,   0
991 ,PNG 349.2-03.5,PN H 2-14                          ,PN ,263.083721 -39.857111              ,264.466123 -16.550582              ,349.294695 -03.501615              ,                ,         ,-12         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  29,   0
992 ,PNG 349.3-01.1,NGC 6337                           ,PN ,260.5653005890700 -38.4838154425700,262.3553938997914 -15.2945572023166,349.3514466817716 -01.1154002104146,  -0.967 -2.801 ,0.5943   ,-70.9       ,         ,         ,12.00    ,         ,15.624315,         ,         ,         ,         ,         ,         ,         ,         ,         ,wels           ,                           ,0.783 0.783          ,0       ,0        ,0        , 133,   0
993 ,PNG 349.3-04.2,PN Lo 16                           ,PN ,263.9245021939400 -40.1906892890900,265.1539501739413 -16.8535406395023,349.3618535977099 -04.2236406610543,  -0.015 -1.555 ,0.5494   ,13          ,         ,         ,16.14    ,         ,15.956048,         ,13.979   ,13.744   ,13.548   ,         ,         ,         ,         ,         ,O(H)3-4Vz((fc)),                           ,                     ,0       ,0        ,0        ,  31,   0
994 ,PNG 349.5+01.0,NGC 6302                           ,PN ,258.434746 -37.103042              ,260.513068 -14.043850              ,349.508909 +01.056191              ,                ,         ,-35.7       ,         ,7.1      ,10.10    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.47182336 0.44727832,0       ,0        ,0        , 773,   1
995 ,PNG 349.8+04.4,PN M 2-4                           ,PN ,255.2759292396500 -34.8273918880300,257.6835626655824 -12.0155072785334,349.8005995860884 +04.4660969035738,  -4.375 -4.371 ,0.1406   ,-186        ,         ,         ,14.40    ,         ,16.694441,         ,13.073   ,12.997   ,12.115   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  75,   0
996 ,PNG 350.1-03.9,PN H 1-26                          ,PN ,264.1245765387400 -39.3657507898600,265.2769798307849 -16.0227330472540,350.1428057024321 -03.9116322156346,   0.286 -6.773 ,0.0097   ,-34         ,         ,         ,14.40    ,         ,16.839222,         ,14.927   ,14.539   ,14.046   ,         ,         ,         ,         ,         ,[WC4/5]        ,                           ,                     ,0       ,0        ,0        ,  42,   0
997 ,PNG 350.5-05.0,PN H 1-28                          ,PN ,265.72546 -39.60689                ,266.57139 -16.21845                ,350.59151 -05.08829                ,                ,         ,-35         ,         ,         ,15.90    ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  26,   0
